TRANSACTION_ID,ACCOUNT_ID,AMOUNT,COUNTRY_CODE,TIMESTAMP
TX1079,ACC_445,751771,IN,2026-09-21 13:44:00
TX1080,ACC_101,4236414,AE,2026-09-21 16:32:00
TX1081,ACC_445,4021793,UK,2026-09-21 18:27:00
TX1082,ACC_991,3059172,KY,2026-09-21 19:45:00
TX1083,ACC_445,1863543,HK,2026-09-21 20:51:00
TX1084,ACC_101,7772606,CH,2026-09-21 21:59:00
TX1085,ACC_101,447023,SG,2026-09-21 23:20:00
TX1086,ACC_112,74170,AE,2026-09-22 01:47:00
TX1087,ACC_303,513060,UK,2026-09-22 04:25:00
TX1088,ACC_202,11028,AE,2026-09-22 06:03:00
TX1089,ACC_303,7371474,US,2026-09-22 07:51:00
TX1090,ACC_808,3238992,AE,2026-09-22 08:01:00
TX1091,ACC_707,142151,SG,2026-09-22 10:01:00
TX1092,ACC_112,175125,SG,2026-09-22 13:00:00
TX1093,ACC_112,189679,CH,2026-09-22 16:00:00
TX1094,ACC_505,86506,CH,2026-09-22 18:31:00
TX1095,ACC_445,3268542,UK,2026-09-22 21:18:00
TX1096,ACC_808,5099101,IN,2026-09-22 22:45:00
TX1097,ACC_202,56098,SG,2026-09-23 00:54:00
TX1098,ACC_606,7468210,KY,2026-09-23 03:14:00
TX1099,ACC_606,2896949,SG,2026-09-23 03:47:00
TX1100,ACC_101,5257974,KY,2026-09-23 04:34:00
